date,precipitation,wind_direction_400hPa,wind_speed_400hPa,cloud_cover_400hPa,temperature_400hPa,wind_speed_50hPa,wind_speed_30hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_1000hPa,wind_speed_975hPa,wind_speed_950hPa,wind_speed_925hPa,wind_speed_900hPa,wind_speed_850hPa,wind_speed_800hPa,wind_speed_700hPa,wind_speed_600hPa,wind_speed_500hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_200hPa,wind_direction_600hPa,wind_direction_500hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa
2025-09-28 01:00:00+00:00,0.0,228.62158,67.16785,0.0,-22.272728,20.957098,29.418362,45.930378,65.50725,112.36512,177.74992,126.65544,123.80953,3.219938,10.452256,16.712543,23.405767,31.24148,35.585175,30.907118,39.083736,43.556175,50.25694,258.23172,256.75946,289.85532,241.55716,250.0168,242.94948,236.46393,241.35876,241.99092,236.68936,249.55037,260.69012,260.4171,252.0505,250.9422,256.60748,267.95465,243.43501
2025-09-28 02:00:00+00:00,0.0,227.07004,70.47382,0.0,-22.59091,20.957098,30.594114,39.88985,67.637856,114.761665,177.74992,130.89354,126.96204,4.3349743,6.9392614,13.876219,21.454605,29.768059,39.147457,33.73425,37.816254,44.76135,53.044884,258.6901,246.3706,285.7087,244.7989,248.53227,238.49579,233.45494,241.35876,239.21593,232.35231,246.80139,258.0239,257.90524,244.15567,239.589,239.85869,233.74606,175.23645
2025-09-28 03:00:00+00:00,0.0,226.43204,67.90346,0.0,-23.545456,25.959969,30.357864,39.087593,65.07719,113.31584,181.92569,141.82861,120.92047,5.771239,8.61269,12.890964,19.160051,26.358799,42.55822,39.04484,38.960327,48.335087,59.61476,251.56496,236.3099,287.87878,247.21756,245.60628,237.7891,229.83049,239.0363,236.0409,229.89915,239.34941,260.4171,257.00537,237.31944,230.9645,221.34767,197.65022,176.42374
2025-09-28 04:00:00+00:00,0.0,221.26851,78.23043,11.808289,-23.227274,30.664637,29.418362,41.65573,63.972496,122.052444,180.89775,174.74323,126.96204,6.130579,15.579317,16.174902,20.212036,26.054565,41.655716,42.643875,41.14381,51.285053,67.16785,258.23172,239.42085,281.6336,246.80139,239.90584,239.91359,233.45494,238.84074,236.05637,228.62158,236.07016,265.29224,259.91946,223.69812,211.15924,201.03758,196.69933,183.3664
2025-09-28 05:00:00+00:00,0.0,218.65984,92.20499,29.28933,-22.59091,31.703627,28.523672,42.068512,66.68373,121.85761,198.71144,183.44307,144.51906,5.4119864,19.254946,21.378119,25.799515,30.336565,47.656757,47.523674,43.55897,53.181816,68.8616,255.37909,240.5242,266.72958,239.74365,237.87503,234.85437,234.46223,237.07767,233.13002,228.5324,237.21573,268.19128,276.0376,230.59937,210.96368,211.67543,215.53777,183.814
2025-09-28 06:00:00+00:00,0.0,222.15779,119.78981,42.26497,-20.363636,32.643528,31.292171,43.366344,74.089676,117.87518,206.05437,176.38367,145.79382,7.2359104,26.714632,29.03226,30.81495,31.06148,41.946335,52.00961,48.59647,53.030552,61.117596,265.60138,252.89719,255.5792,245.09525,234.53004,230.24438,235.39426,235.19925,231.89238,226.5911,241.79846,271.10168,268.13235,232.66673,215.97247,216.86998,215.90982,185.7105
2025-09-28 07:00:00+00:00,0.0,224.9999,120.49098,21.826405,-20.363636,35.79944,31.407007,46.8,74.87269,118.32024,205.4805,180.89775,149.37952,6.849467,30.647491,33.934505,32.70244,31.115025,37.135746,53.033005,51.666584,57.272724,61.94836,263.41815,256.42953,247.3801,248.36905,233.24623,227.41954,226.30188,234.26775,233.13002,224.21527,241.27977,261.87,255.7932,222.27362,211.93065,212.42105,211.56175,183.01273
2025-09-28 08:00:00+00:00,0.0,232.43134,118.08878,37.639027,-20.681818,35.53702,28.523672,53.126263,76.893684,120.723816,209.53662,188.99142,150.50316,7.5599995,36.040085,42.11001,40.16308,38.84687,41.347996,46.222286,56.349594,56.288292,67.90346,255.37909,258.31067,251.56496,247.0362,232.6744,229.63554,217.87505,233.85191,237.46495,223.56796,243.15279,254.30994,238.06158,217.11694,209.38892,209.15681,205.76927,180.0
2025-09-28 09:00:00+00:00,0.0,234.53004,117.87518,8.712906,-21.0,33.190357,26.966646,54.64943,75.68566,124.15796,206.64055,204.21869,161.54158,7.5599995,37.708294,46.612625,45.741695,46.810776,46.972084,46.327633,55.91032,62.310867,68.64168,249.14546,257.4712,250.76923,244.65387,237.2315,229.28925,221.38602,233.2631,240.06857,233.53067,247.13545,251.7605,239.70364,218.09972,214.24908,212.10623,205.80447,180.0
2025-09-28 10:00:00+00:00,0.0,237.80429,114.862,0.0,-21.954546,29.024128,28.01428,60.76315,77.29528,116.899956,205.97047,209.58815,172.27,8.647496,38.718933,51.784233,53.02483,54.544037,50.68276,48.541214,56.096058,64.00671,67.5633,260.13425,262.8751,260.9098,242.24155,238.43108,225.23196,224.15341,231.86148,237.52882,250.27763,245.13632,245.01878,236.73856,221.88908,215.73987,211.55133,205.08356,182.3859
