date,temperature_2m,wind_speed_30hPa,wind_speed_50hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_400hPa,wind_speed_500hPa,wind_speed_600hPa,wind_speed_700hPa,wind_speed_800hPa,wind_speed_850hPa,wind_speed_900hPa,wind_speed_925hPa,wind_speed_950hPa,wind_speed_975hPa,wind_speed_1000hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_200hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_400hPa,wind_direction_500hPa,wind_direction_600hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa,pressure_msl,surface_pressure,cloud_cover_high,cloud_cover_mid,cloud_cover_low,is_day
2025-10-02 20:00:00+00:00,19.6315,4.717123,0.91633505,16.003101,29.607689,32.071724,30.515469,34.98912,28.693138,25.036245,28.758907,25.706995,25.490843,22.914736,21.749151,19.013231,18.552805,17.47996,11.804113,8.96066,285.94547,44.999897,248.6293,246.80139,261.87,273.65216,270.0,263.51703,259.5626,247.47939,250.9422,245.11966,235.56094,224.5417,208.39293,207.1649,206.25859,205.25313,204.34108,1022.9,972.738,95.0,82.0,0.0,1.0
2025-10-02 21:00:00+00:00,19.4315,7.3306804,4.5816746,15.070855,29.960089,33.449368,30.349922,32.403812,29.981102,23.549986,28.302738,28.500921,26.712955,25.327599,23.00851,20.928036,20.106102,18.511703,11.453444,8.526348,315.0001,171.86998,244.5367,248.42863,261.08514,286.1135,268.85425,263.79663,262.09293,254.05453,251.00325,246.32945,238.51259,221.53168,207.67198,206.2882,205.40768,203.86018,204.22774,1022.6,972.41943,98.0,26.0,0.0,1.0
2025-10-02 22:00:00+00:00,18.0315,8.118749,5.7954116,15.360573,29.10716,34.08963,27.3369,29.868864,28.509655,22.687387,25.934061,28.232588,28.56606,27.28913,24.745422,23.360834,22.339851,19.913555,10.474579,7.147413,331.38962,206.56499,242.35411,253.17851,261.2539,301.4295,266.26868,270.0,268.36346,257.00537,249.86362,247.94888,244.19551,228.22461,208.30066,206.56499,205.48915,202.6199,202.38017,1022.2,971.8048,98.0,0.0,0.0,1.0
2025-10-02 23:00:00+00:00,15.531501,9.434246,7.8023114,16.519463,27.680294,31.775824,26.573715,28.575844,26.597403,22.030186,23.895094,26.836199,28.634787,27.840454,26.124813,25.85526,25.44819,22.835316,10.1918545,5.6605473,344.05453,221.63345,244.44008,253.68607,267.66275,315.0001,273.90042,272.79263,270.0,257.4712,249.77505,249.44386,250.15921,240.05441,211.04959,206.3463,203.7495,198.43504,195.94547,1022.2,971.3816,49.0,0.0,0.0,1.0
2025-10-03 12:00:00+00:00,11.5835,4.3465586,4.717123,20.915733,32.071724,35.359135,45.857964,47.89987,37.78146,29.10716,33.1024,30.04441,29.50036,29.742926,28.963589,30.28521,31.20573,25.207771,6.93121,7.6603084,333.43503,285.94547,253.81071,261.87,283.78162,293.3049,293.09686,292.16638,286.8215,273.3664,270.8425,271.3019,261.64932,260.21765,260.11594,253.83543,232.74995,215.53777,215.70677,1019.5,968.1345,100.0,64.0,0.0,1.0
2025-10-03 15:00:00+00:00,15.6835,2.0489872,8.118749,20.985872,35.08498,42.11653,49.60496,47.552402,35.04307,33.55588,31.749388,30.122263,27.14673,22.681347,23.141012,24.83943,20.824091,13.69328,6.7683096,6.9599247,71.564964,208.61037,261.11942,265.76367,284.25006,293.8865,289.9165,289.44012,280.0079,270.0,274.2053,270.0,278.90164,271.82794,262.68106,253.6441,238.73633,233.47105,234.09018,1019.0,968.36646,10.0,93.0,35.0,1.0
2025-10-03 16:00:00+00:00,18.5835,3.7781458,10.079684,19.823357,35.138786,43.716,53.040676,48.009304,37.49703,35.073013,29.91802,30.093092,27.81904,21.230625,21.196524,19.954563,14.03517,12.627693,6.486682,6.6942644,120.96369,224.9999,258.6901,264.71002,281.9761,295.31284,291.3707,288.12195,281.72507,274.96964,273.3664,270.69025,277.30566,273.32733,260.21765,248.19853,245.55606,244.23071,244.17906,1018.4,968.2843,0.0,10.0,0.0,1.0
2025-10-03 17:00:00+00:00,20.4835,4.3465586,13.66845,19.49232,33.146763,43.465584,54.804188,51.318848,41.6353,36.342823,30.370663,27.447418,25.52607,21.329952,21.658493,15.185981,13.669098,12.632883,6.8398705,7.02477,153.43501,238.57048,248.5522,265.51547,280.30478,294.44394,294.62354,290.97357,281.3099,281.07016,273.6913,273.76395,270.72522,268.6981,255.3432,252.42865,253.66388,256.373,255.5792,1017.9,968.1237,5.0,0.0,0.0,1.0
2025-10-03 18:00:00+00:00,21.9835,5.1835737,13.529523,22.039713,31.749388,43.99362,58.289997,52.707188,46.56659,37.39051,31.769217,27.888298,22.15254,18.555939,18.20812,14.940085,14.291617,13.181213,7.189819,7.358404,180.0,253.30067,245.69547,270.0,279.32352,294.28583,290.88586,291.2093,278.97253,281.76825,273.63287,280.45984,278.36578,270.0,252.38733,253.21727,255.30263,258.6901,257.79956,1017.2,967.7033,0.0,5.0,0.0,1.0
2025-10-03 19:00:00+00:00,22.8835,6.146962,14.151369,23.824709,33.051632,45.81675,61.144337,53.32093,48.99179,40.05233,32.917988,28.055754,17.079237,16.308535,15.027539,13.655527,13.248517,12.444738,6.674741,6.828387,198.43504,254.05453,247.61981,271.1233,278.13,297.10803,295.94223,290.11267,279.30988,280.20392,277.23682,285.94547,289.3349,272.8155,257.57407,259.6112,262.27826,264.80566,265.10098,1016.8,967.46875,5.0,5.0,0.0,1.0
