date,temperature,pressure,110,stdev [110],direction [110],320,stdev [320],direction [320],500,stdev [500],direction [500],800,stdev [800],direction [800],1000,stdev [1000],direction [1000],1500,stdev [1500],direction [1500],1900,stdev [1900],direction [1900],3200,stdev [3200],direction [3200],4200,stdev [4200],direction [4200],5600,stdev [5600],direction [5600],7200,stdev [7200],direction [7200],9200,stdev [9200],direction [9200],10400,stdev [10400],direction [10400],11800,stdev [11800],direction [11800],13500,stdev [13500],direction [13500],15800,stdev [15800],direction [15800],17700,stdev [17700],direction [17700],19300,stdev [19300],direction [19300],22000,stdev [22000],direction [22000],cloud_cover_low,is_day
2024-08-14 06:00:00,14.8315,1018.8,3.0734808,0.0,214.69522,3.430301,0.0,220.23628,13.227533,0.0,275.44025,16.255825,0.0,292.79654,15.484149,0.0,303.6901,12.42033,0.0,303.6901,10.560238,0.0,302.47116,7.5314436,0.0,302.2756,7.2457604,0.0,307.56866,5.060625,0.0,320.1945,8.717231,0.0,318.01285,21.25423,0.0,322.43134,17.626055,0.0,323.97253,20.865492,0.0,323.8417,28.131634,0.0,321.54626,20.28394,0.0,333.43503,13.357763,0.0,22.833694,5.223913,0.0,29.744795,6.511783,0.0,84.2895,0.0,0.0
2024-08-14 07:00:00,13.9315,1018.7,2.0663304,0.0,228.81418,2.2967033,0.0,232.12495,13.494023,0.0,286.18927,16.94769,0.0,300.83777,14.441043,0.0,309.92035,10.384017,0.0,323.67307,8.974477,0.0,313.7812,7.3579364,0.0,300.06848,6.626727,0.0,306.86996,6.479467,0.0,306.86996,11.034134,0.0,310.2363,20.622627,0.0,316.27295,17.874405,0.0,313.53125,21.155237,0.0,319.9698,27.221474,0.0,321.7661,21.538744,0.0,338.83865,12.225433,0.0,32.005356,3.2397332,0.0,360.0,7.8826113,0.0,80.53775,0.0,0.0
2024-08-14 08:00:00,13.4315,1019.3,2.1025846,0.0,236.3099,2.7025235,0.0,243.43501,14.245262,0.0,284.44406,15.667731,0.0,313.87677,13.795112,0.0,325.0079,8.820333,0.0,337.01126,6.640575,0.0,333.43503,7.0698876,0.0,301.4295,9.107565,0.0,309.09384,8.247014,0.0,315.0001,10.547808,0.0,317.4896,22.926695,0.0,317.29062,18.326698,0.0,315.0001,22.492243,0.0,318.50363,27.627157,0.0,320.7106,20.7039,0.0,339.8636,9.001563,0.0,30.256361,2.671553,0.0,345.9637,8.195949,0.0,71.564964,0.0,0.0
2024-08-14 09:00:00,13.4315,1019.5,2.372759,0.0,235.0079,3.248029,0.0,240.25522,14.214561,0.0,289.76724,16.807943,0.0,327.13132,14.96571,0.0,334.98312,8.325995,0.0,325.84024,5.9456434,0.0,320.52756,8.458673,0.0,303.6901,10.015886,0.0,318.57642,7.5562916,0.0,329.03632,11.912354,0.0,315.0001,22.566782,0.0,320.82635,19.26484,0.0,312.27362,23.072725,0.0,321.8427,29.868866,0.0,319.39877,19.144604,0.0,336.0375,9.911678,0.0,11.3098955,5.343106,0.0,345.9637,9.34482,0.0,56.3099,0.0,0.0
2024-08-14 10:00:00,13.1315,1019.7,2.91576,0.0,233.13002,3.9729035,0.0,239.53453,13.417726,0.0,288.1528,14.117272,0.0,323.13,14.573105,0.0,336.21796,10.145136,0.0,320.90613,7.8850155,0.0,308.0471,9.947649,0.0,302.61923,9.192884,0.0,324.78232,7.5562916,0.0,329.03632,14.269545,0.0,320.52756,23.072725,0.0,321.8427,20.159369,0.0,315.0001,23.008951,0.0,327.6526,28.933558,0.0,325.954,17.685503,0.0,331.55716,11.481644,0.0,16.389616,6.6077857,0.0,348.6901,12.513929,0.0,68.74943,1.0,0.0
2024-08-14 11:00:00,13.1315,1019.8,3.0239055,0.0,224.9999,4.028684,0.0,233.13002,10.138847,0.0,284.32275,7.785545,0.0,292.98874,6.9776387,0.0,294.90472,6.383237,0.0,297.5527,7.1327295,0.0,299.4758,9.479327,0.0,315.0001,8.702092,0.0,336.0375,8.693117,0.0,333.43503,13.66845,0.0,328.5705,21.538744,0.0,316.2188,20.2425,0.0,320.1945,24.113716,0.0,329.30035,28.933558,0.0,325.954,19.780952,0.0,328.39255,12.173812,0.0,25.201094,4.9346147,0.0,23.198618,13.023566,0.0,84.2895,1.0,1.0
2024-08-14 12:00:00,16.1815,1020.2,2.2163186,0.0,232.12495,3.248029,0.0,240.25522,9.859221,0.0,274.8644,6.5733256,0.0,277.59454,5.8940864,0.0,265.60138,6.8939514,0.0,267.95465,7.428069,0.0,289.0936,9.998331,0.0,320.44037,7.9643345,0.0,340.55988,7.8291693,0.0,335.55606,11.681025,0.0,326.3099,18.349594,0.0,317.86246,17.626055,0.0,323.97253,22.11578,0.0,328.17258,27.680294,0.0,327.42596,20.865492,0.0,323.8417,13.729744,0.0,19.290138,5.1835737,0.0,360.0,13.622299,0.0,87.27374,3.0,1.0
2024-08-14 13:00:00,19.6815,1019.9,2.9222324,0.0,273.814,3.2229471,0.0,270.0,10.250266,0.0,272.33725,9.145171,0.0,265.91446,7.4039235,0.0,257.66092,8.119838,0.0,270.0,7.871137,0.0,292.16638,10.324419,0.0,324.24603,7.31279,0.0,334.98312,8.118749,0.0,331.38962,12.44665,0.0,321.34018,18.349594,0.0,317.86246,16.896383,0.0,327.52884,24.390697,0.0,320.38934,29.1576,0.0,323.13,21.392056,0.0,324.86572,13.357763,0.0,22.833694,7.8023114,0.0,4.763556,11.091061,0.0,96.70974,0.0,1.0
2024-08-14 14:00:00,22.6315,1020.0,3.3273182,0.0,263.29025,3.6481287,0.0,263.6599,7.1555233,0.0,263.29025,9.644748,0.0,262.23492,8.941682,0.0,253.85559,7.6435847,0.0,273.6913,7.244264,0.0,296.56497,9.202762,0.0,326.88864,6.914979,0.0,333.43503,8.118749,0.0,331.38962,12.3790045,0.0,317.1211,16.042406,0.0,316.63654,14.775457,0.0,322.12497,26.119566,0.0,313.995,30.065002,0.0,322.88306,21.781033,0.0,329.62094,10.686212,0.0,14.036275,8.644687,0.0,12.99463,7.244264,0.0,116.56499,0.0,1.0
2024-08-14 15:00:00,24.981499,1020.3,3.1643424,0.0,259.3804,3.5178971,0.0,256.75946,5.7810717,0.0,257.4712,6.953435,0.0,255.52966,8.22754,0.0,254.05453,6.9289913,0.0,263.88458,6.8299575,0.0,288.43503,8.112997,0.0,321.70978,6.0088825,0.0,323.97253,7.244264,0.0,333.43503,13.294755,0.0,316.9749,16.094662,0.0,310.10083,15.604623,0.0,311.63345,30.239054,0.0,315.0001,31.696447,0.0,319.1447,20.895653,0.0,330.25522,11.034134,0.0,3.3664,7.8291693,0.0,24.443953,5.9737735,0.0,130.60121,0.0,1.0
